video_id,title,channel,channel_id,publish_date,video_age_days,title_length_words,title_sentiment,category_id,category_name,view_count,like_count,comment_count,like_view_ratio_percent,comment_view_ratio_percent,region,subscriber_count
uTeHjOmuxao,ಶ್ರೀ ರಾಘವೇಂದ್ರ ಸ್ವಾಮಿ ಭಕ್ತಿಗೀತೆಗಳು | Sri Raghavendra Swamy Kannada Bhakti Songs,Kannada Bhakti Tv - ಭಕ್ತಿ ಟಿವಿ,UCJImfn4b7DEgZay2dZzS_PQ,2025-07-30T23:01:03Z,0,11,0.0,10,Music,37458,305,28,0.8142452880559561,0.07475038710021892,IN,42300
t3okysnt530,Pratik Gandhi vs Sunny Hinduja: The Spy-War Begins! | Teaser | Saare Jahan Se Accha | Netflix India,Netflix India,UCZSNzBgFub_WWil6TOTYwAg,2025-07-30T08:30:00Z,1,18,0.2714,24,Entertainment,154279,2180,126,1.4130244556939053,0.08167022083368443,IN,27200000
bwzQn-yltoU,EPIC NINJA TRIALS| CHALLENGE FREE FIRE| NEW EVENT KAISE COMPLETE KAREN| NINJA EVENT KAISE PURA KAREN,Giving Gamer,UCjGow8FmZFS2uxYN7OJnMeg,2025-07-30T08:44:28Z,1,16,0.296,20,Gaming,193695,7895,237,4.075995766540179,0.1223573143343917,IN,963000
pJAUCAiXJnE,नागपंचमी विशेष मराठी गाणी | भक्ती गीते | वारुळाला जाऊया नागोबाला पुजूया | Nag Panchami Marathi Songs,जय जय स्वामी समर्थ,UCsx8Bnd1c53C-4cojG6ujCg,2025-07-29T00:00:54Z,2,17,-0.3612,22,People & Blogs,419142,1578,76,0.37648338749159,0.018132279752446665,IN,1050000
sJlJawjMLnc,Coolie - Trailer (Hindi) | Rajinikanth | Nagarjuna | | Lokesh Kanagaraj | Amir Khan,Next Frame Films,UCNkMB0wP2Oaf6U7Z1tUcjCg,2025-07-29T10:27:09Z,2,15,0.0,22,People & Blogs,175189,2866,36,1.6359474624548347,0.020549235397199595,IN,109000
6v78yWGJlYw,HOW TO COMPLETE NARUTO EVENT| FREE FIRE NEW EVENT| FF NEW EVENT TODAY| NEW FF EVENT|GARENA FREE FIRE,Technical AT Gamer,UCb_XxMGwX9E1E6f6Nx8i-Kg,2025-07-30T03:26:16Z,1,18,0.8126,2,Autos & Vehicles,340165,8862,269,2.60520629694413,0.07907927035409286,IN,1150000
-BOUp8SJVUk,Baraat Me Bawal Karaibu - Latest Bhojpuri Song Teaser 2025 | Tun Tun Yadav- Srishti Bharti Ft.Chahat,T-Series Hamaar Bhojpuri,UCpN-WGQgGsOrXm7nHXDdTDA,2025-07-30T09:22:14Z,1,17,-0.25,10,Music,73993,3461,144,4.677469490357196,0.19461300393280445,IN,22300000
o-OCKLgwu1w,Avatar Fire and Ash Trailer • Reaction,thePJ,UCbPUDwXjjV7KOYGdz3tLpXw,2025-07-28T15:46:09Z,2,7,-0.34,20,Gaming,189259,13116,568,6.930185618649576,0.30011782795005787,IN,392000
YJtpyxp6cEQ,Itachi Event Spin ചെയ്തു 😍 Itachi Bundle Prank In Lone Wolf | Freefire Malayalam ,AKSHAY AKZ,UCcd2fUoVQfbV5c1TosJKUSw,2025-07-30T10:24:36Z,1,14,0.2263,20,Gaming,132032,6260,193,4.741274842462433,0.1461766844401357,IN,1140000
S5Y7dG8mnKA,Mummy Ban Jawegi | 9 महीने में होवे तेरे बालक | Official Video | Farmani Naaz | Rahul | Anil Rawat,Naaz Music,UCtp6V-43hLxyTMGHwWwZuFA,2025-07-26T13:11:01Z,4,21,-0.5574,10,Music,292709,4650,154,1.58860848146111,0.052611979816131374,IN,2230000
icDHOS6riDU,COOLIE -OFFICIAL TRAILER | Rajnikant | Nagarjuna | Amir Khan | Lokesh Kanagaraj| Anirudh Ravichander,"T Movies  • 8.5M views • 5 hours ago


.",UCUxWImZi6RyidVR2ulfdBmg,2025-07-26T13:18:08Z,4,15,0.0,22,People & Blogs,243767,4684,36,1.9215070128442324,0.014768200781894187,IN,1440
ykhpoufHe8U,Dhanu is live playing with subs fun custom #fflive #shortslive #shortsfeed #shorts #totalgaming,Dhanu FF 444,UCRM5RmFswzm2ew0uGIwiv8w,2025-07-31T09:26:52Z,0,13,0.6249,20,Gaming,803984,7290,0,0.9067344623773608,0.0,IN,178000
BbutUjQDzv8,Teaser | #Khesari Lal Yadav #रक्षाबंधन गीत | बहिनी के प्यार | Raj Nandani | Raksha Bandhan Song 2025,Sur Music ,UCW1BEAegBZdCOq4M7JtDSQw,2025-07-31T05:30:04Z,0,19,-0.25,10,Music,34698,8738,641,25.183007666147905,1.8473687244221568,IN,1790000
PExQtC5e9IU,Sathi Leelavathi - Official Teaser | Lavanya Tripathi | Dev Mohan | Satya Tatineni | Mickey J Meyer,Zee Music South,UCLsSLka8jODBozvi5VTQeaQ,2025-07-29T05:00:16Z,2,18,-0.25,24,Entertainment,483323,4829,104,0.9991248088752243,0.02151770141292676,IN,6490000
cP3bLjhtnOE,"Rs1 vs Rs1,00,000 Luxury Mountain Mining in Minecraft @ProBoiz95",Junkeyy,UCJS4UHGP6Q3BI-0ZIGrGXgw,2025-07-29T13:06:41Z,1,9,0.0,20,Gaming,688996,15080,772,2.1886919517674994,0.11204709461303114,IN,2610000
uQAv2IwrdXo,"Mallika Gandha - Music Video | Telusu Kada | Siddu Jonnalagadda, Raashii Khanna,Thaman S, Sid Sriram",Tips Telugu,UC2V5vzgmEmoiWqXfM2jN5_w,2025-07-28T12:45:03Z,2,16,0.0,10,Music,5946818,42459,768,0.7139784671399058,0.012914469553297243,IN,1500000
5r-7eWDBc40,GOAT - Official Teaser Trailer (HD),Sony Pictures Entertainment,UCz97F7dMxBNOfGYu3rx8aCw,2025-07-30T12:59:45Z,0,6,-0.25,24,Entertainment,7334048,51307,4291,0.6995727325482463,0.05850793449947424,IN,7720000
nRSx3pOHtpY,SHINCHAN AND FRANKLIN TRIED THE IMPOSSIBLE SPIRAL MEGA RAMP PARKOUR CHALLENGE GTA 5,Yippi Gaming,UCXaFhaxwH3ASTgwwKL4Kt2Q,2025-07-30T04:15:03Z,1,13,0.2577,20,Gaming,179184,1594,34,0.8895883561032235,0.01897490847397089,IN,6470000
eTa-R-fR-u4,#Ujala Yadav का #बिरहा | नालासोपारा कांड - विजय चौहान की लाश मिली टाइल्स के अंदर पत्नी ने बताया सच,Ujala Yadav Official,UCdf2OM7nabvwhgTlC-WkKwQ,2025-07-28T10:48:35Z,3,20,0.0,10,Music,205450,2533,264,1.232903382818204,0.12849841810659526,IN,828000
E1VlR-Phr2Y,टांगा पलटी घोडे फरार - Official Trailer(Tanga Palti Ghode Farrar) | Kartick B Kolpe | KFC Production,KFC Production,UCk0J-cYGAPdL2KY6IFQjMcg,2025-07-30T05:30:05Z,1,17,0.0,1,Film & Animation,26382,1916,234,7.262527480858161,0.886968387536957,IN,40000
8RXzlZc0mT0,I was Making Burgers at The KIOSK But I Wasn't Alone (Horror Gameplay),Live Insaan,UCFwKgzKe-EdTz83r6wzhmOw,2025-07-30T09:00:18Z,1,13,0.7275,20,Gaming,617494,26292,4660,4.257855137053963,0.7546632032052134,IN,13900000
BMipjDbZO6c,"Main Kisi Aur Ka Hun Filhal | Akshay Kumar Ft Nupur Sanon | B Praak, Jaani | Arvindr K | Ammy Virk",Mohammad Shehab Pathan,UCB1ykuSC1Uj8yvdv0rbrgoA,2025-07-25T00:56:53Z,6,22,0.0,10,Music,367619,2231,20,0.6068783169531499,0.0054404152124890165,IN,731000
cioSEvNi9YE,10 Rewards 😲 Free Fire Epic Ninja Trials Event Details |,HELPING GAMER,UCMmMsJI54IsODpEsG08PsJA,2025-07-30T07:36:27Z,1,11,0.765,20,Gaming,269473,12196,2262,4.525870866468997,0.8394161938301796,IN,7990000
Lu2fwryFVOI,"Saajan Saajan Ishq Mein Jab Jee Ghabraya|Dil Ka Rishta |Aishwarya Rai, Arjun Rampal,Jaspinder Narula",Tips Official,UCJrDMFOdv1I2k8n9oK_V21w,2025-07-31T04:00:32Z,0,14,0.0,10,Music,56386,248,4,0.4398254885964601,0.007093959493491292,IN,77400000
2ouoJki47PM,"Survive SQUID GAME 3, Win $456,000! in ROBLOX !!",Lovely Boss,UCvIBvfFyQrltJM4ZRZTd_EA,2025-07-30T12:58:34Z,0,9,0.6884,22,People & Blogs,138822,6417,788,4.622466179712149,0.567633372232067,IN,916000
I5EtG8ZTgKU,"Enna Sugam - Lyrical | Idli Kadai | Dhanush, Nithya Menen | GV Prakash Kumar",Saregama Tamil,UCzee67JnEcuvjErRyWP3GpQ,2025-07-27T12:28:07Z,3,15,0.0,10,Music,6999336,78423,2544,1.120434852677454,0.03634630484948858,IN,9920000
q7RU0TxTIMQ,🌿FREE FIRE LIVE🌿DAY 30🥵BR-RANK NEW SEASON-46 ROAD TO GRANDMASTER😎IN V BADGE LOBBY🎯ON LIVE,DAD I AM OK GAMING,UCLyeLv13NLgHjFn2FVdbh4w,2025-07-30T20:59:30Z,0,13,0.1779,20,Gaming,301793,4159,0,1.3780969074829437,0.0,IN,911000
